"id_estado","estado","estatus"
"1","Amazonas","0"
"2","Anzoátegui","0"
"3","Apure","0"
"4","Aragua","0"
"6","Bolívar","0"
"7","Carabobo","0"
"9","Delta Amacuro","0"
"10","Falcón","0"
"11","Guárico","0"
"13","Mérida","0"
"14","Miranda","0"
"15","Monagas","0"
"16","Nueva Esparta","0"
"18","Sucre","0"
"19","Táchira","0"
"21","Vargas","0"
"22","Yaracuy","0"
"23","Zulia","0"
"24","Distrito Capital","0"
"25","Dependencias Federales","0"
"17","Portuguesa","1"
"5","Barinas","1"
"20","Trujillo","1"
"8","Cojedes","1"
"12","Lara","1"
