"id_lista","nombre","estatus","bloqueado"
"1","Estado Civíl","1","1"
"2","Sexo","1","1"
"3","Sedes","1","0"
"4","Operadoras Telf. Móvil","1","0"
"5","Codigos de Area Telf. Fija","1","0"
"6","Requisitos de Beneficios","1","0"
"7","Bancos","1","0"
"8","Tipos de Cuenta","1","0"
"9","Nacionalidades","1","0"
"10","Condiciones de Usuario","1","0"
"11","Condiciones de Socio","1","0"
"12","Tipos de Cargo de Caja de Ahorro","1","0"
"13","Cargos de Caja de Ahorro","1","0"
"14","Tipos de Docente","1","0"
"15","Dedicaciones de Docente","1","0"
"16","Categorias de Docente","1","0"
"17","Parentescos de Beneficiarios","1","1"
"18","Condición de Período","1","0"
"19","Tipo de Beneficio","1","1"
"20","Formas de Pago","1","1"
"21","Conceptos de Pago","1","1"
"22","Programas de Financiamiento","1","1"
